Raman Shift,"2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_4","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2"
601.12,22216.0,17727.0,18754.0,20533.0,17145.0,18498.0,17797.0,20938.0,19254.0,20852.0,10085.0,13070.0,18303.0,15048.0,18629.0
603.32,21887.0,17520.0,18660.0,20300.0,16790.0,18270.0,17804.0,20790.0,18776.0,20376.0,10012.0,13000.0,18092.0,15129.0,18464.0
605.52,22273.0,17333.0,18420.0,20020.0,16769.0,18106.0,17706.0,20319.0,19085.0,20348.0,10423.0,12818.0,18078.0,15174.0,18651.0
607.72,22330.0,17661.0,18117.0,20041.0,16899.0,18313.0,17942.0,20361.0,19290.0,20162.0,10121.0,12993.0,17963.0,14965.0,18302.0
609.92,22155.0,17327.0,18158.0,20137.0,16546.0,18520.0,17817.0,20514.0,18818.0,20449.0,10112.0,13073.0,18038.0,15032.0,18748.0
612.12,22200.0,17785.0,18044.0,20216.0,16996.0,18134.0,17632.0,20180.0,19021.0,20510.0,10192.0,12748.0,18065.0,15063.0,18347.0
614.32,21630.0,17255.0,17491.0,19765.0,16391.0,17998.0,17338.0,20021.0,19155.0,19619.0,10124.0,13027.0,18074.0,14727.0,18186.0
616.51,21582.0,16839.0,17611.0,19340.0,16289.0,17968.0,17093.0,20009.0,18094.0,19243.0,9904.0,12820.0,17413.0,14298.0,18060.0
618.71,21464.0,16970.0,17797.0,19551.0,16389.0,17882.0,17152.0,19900.0,18404.0,19547.0,10228.0,12508.0,17260.0,14546.0,18132.0
620.9,21340.0,16842.0,17207.0,18984.0,15983.0,17687.0,16640.0,19651.0,18096.0,19140.0,9993.0,12723.0,17259.0,14356.0,17854.0
623.1,20884.0,17338.0,17503.0,18832.0,15784.0,17676.0,16849.0,19893.0,18210.0,19271.0,9978.0,12743.0,17541.0,14352.0,17839.0
625.29,21140.0,16799.0,17263.0,19215.0,15931.0,17658.0,16772.0,19895.0,18134.0,19237.0,9348.0,13016.0,17263.0,14518.0,17603.0
627.48,20998.0,16320.0,17121.0,18878.0,15758.0,17623.0,16528.0,19732.0,18169.0,18822.0,9657.0,12884.0,17455.0,14188.0,17579.0
629.67,20492.0,16754.0,17114.0,18579.0,15737.0,17486.0,16859.0,19354.0,17971.0,18571.0,9759.0,12691.0,16962.0,13878.0,17127.0
631.86,20750.0,16167.0,17151.0,18935.0,15640.0,17273.0,16508.0,19546.0,17562.0,18659.0,9415.0,12370.0,17057.0,14123.0,17240.0
634.05,21109.0,17185.0,17108.0,18860.0,15839.0,16901.0,15977.0,18786.0,17489.0,18983.0,9193.0,12213.0,17278.0,14131.0,17539.0
636.24,21132.0,17243.0,16811.0,18765.0,15567.0,17342.0,16712.0,19137.0,17094.0,18481.0,9588.0,12404.0,16892.0,14169.0,17110.0
638.43,21026.0,17870.0,16840.0,18433.0,15386.0,16588.0,16085.0,18821.0,16899.0,18322.0,9194.0,12408.0,16420.0,13583.0,16785.0
640.61,20727.0,16555.0,16352.0,18797.0,15255.0,16833.0,15746.0,18544.0,17225.0,18318.0,9314.0,12246.0,16990.0,13560.0,16712.0
642.8,19946.0,15733.0,16209.0,18036.0,14615.0,16704.0,15738.0,18329.0,17110.0,17825.0,9089.0,11710.0,16568.0,13383.0,16999.0
644.98,19901.0,15432.0,16614.0,18107.0,14905.0,16686.0,16284.0,18672.0,17260.0,17844.0,9242.0,11629.0,17188.0,13313.0,17032.0
647.17,19073.0,15458.0,15826.0,17970.0,14569.0,16303.0,15788.0,18668.0,16727.0,17579.0,9517.0,12036.0,16134.0,13369.0,16460.0
649.35,19376.0,15574.0,16069.0,18345.0,14741.0,16864.0,15714.0,18670.0,17038.0,18029.0,9100.0,12000.0,16481.0,13122.0,16976.0
